'sample interval','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
16,0.438,0.143,-0.294,-0.291,0.366,-0.075,0.580,0.324,0.661,0.325,-0.141,-0.033,-0.148,-0.082,-0.128
17,0.448,0.161,-0.286,-0.304,0.367,-0.063,0.577,0.326,0.679,0.341,-0.126,-0.015,-0.133,-0.079,-0.132
18,0.453,0.176,-0.276,-0.315,0.364,-0.050,0.575,0.328,0.696,0.357,-0.113,-0.017,-0.135,-0.071,-0.144
19,0.448,0.172,-0.276,-0.309,0.361,-0.052,0.564,0.315,0.702,0.363,-0.110,-0.024,-0.137,-0.070,-0.153
20,0.443,0.177,-0.266,-0.310,0.354,-0.044,0.556,0.307,0.711,0.376,-0.098,-0.015,-0.129,-0.060,-0.162
21,0.436,0.177,-0.259,-0.306,0.347,-0.041,0.542,0.295,0.718,0.384,-0.087,-0.009,-0.124,-0.051,-0.167
22,0.448,0.185,-0.262,-0.317,0.354,-0.038,0.517,0.280,0.722,0.387,-0.083,-0.005,-0.117,-0.042,-0.167
23,0.461,0.206,-0.254,-0.334,0.357,-0.024,0.491,0.266,0.732,0.399,-0.072,0.002,-0.111,-0.020,-0.172
24,0.454,0.213,-0.239,-0.334,0.346,-0.013,0.471,0.245,0.741,0.412,-0.058,0.011,-0.107,-0.015,-0.173
25,0.448,0.227,-0.222,-0.337,0.335,0.003,0.453,0.229,0.748,0.424,-0.045,0.015,-0.106,-0.009,-0.177
26,0.446,0.233,-0.212,-0.339,0.329,0.011,0.417,0.199,0.750,0.430,-0.041,0.027,-0.101,0.006,-0.180
27,0.460,0.252,-0.208,-0.356,0.334,0.022,0.400,0.180,0.754,0.438,-0.035,0.034,-0.097,0.020,-0.182
28,0.480,0.284,-0.196,-0.383,0.339,0.044,0.393,0.176,0.766,0.453,-0.017,0.056,-0.087,0.037,-0.190
29,0.485,0.291,-0.193,-0.389,0.339,0.050,0.383,0.169,0.773,0.461,-0.011,0.058,-0.086,0.048,-0.197
30,0.488,0.292,-0.195,-0.391,0.342,0.049,0.375,0.165,0.776,0.463,-0.008,0.061,-0.091,0.046,-0.202
31,0.489,0.296,-0.192,-0.393,0.341,0.052,0.370,0.159,0.776,0.467,-0.003,0.066,-0.086,0.038,-0.196
32,0.485,0.287,-0.198,-0.386,0.342,0.045,0.368,0.156,0.778,0.465,-0.009,0.046,-0.074,0.038,-0.186
33,0.488,0.285,-0.203,-0.387,0.345,0.041,0.369,0.157,0.781,0.466,-0.007,0.050,-0.076,0.044,-0.193
34,0.488,0.293,-0.195,-0.391,0.342,0.050,0.368,0.156,0.781,0.469,-0.007,0.050,-0.081,0.045,-0.196
35,0.485,0.296,-0.188,-0.391,0.337,0.054,0.369,0.159,0.783,0.471,-0.006,0.057,-0.072,0.052,-0.197
36,0.480,0.289,-0.190,-0.385,0.335,0.050,0.367,0.152,0.782,0.470,-0.007,0.057,-0.076,0.051,-0.199
37,0.485,0.289,-0.195,-0.387,0.340,0.048,0.358,0.144,0.777,0.466,-0.011,0.045,-0.083,0.051,-0.198
38,0.503,0.307,-0.197,-0.406,0.350,0.055,0.357,0.148,0.783,0.472,-0.003,0.057,-0.080,0.064,-0.200
39,0.504,0.305,-0.199,-0.405,0.351,0.053,0.358,0.150,0.787,0.475,0.000,0.065,-0.072,0.059,-0.198
40,0.489,0.296,-0.192,-0.393,0.341,0.052,0.359,0.148,0.787,0.474,-0.004,0.059,-0.076,0.052,-0.199
41,0.482,0.296,-0.185,-0.389,0.334,0.056,0.355,0.146,0.788,0.478,0.004,0.066,-0.070,0.056,-0.196
42,0.495,0.299,-0.195,-0.397,0.345,0.052,0.348,0.142,0.784,0.475,0.004,0.069,-0.070,0.059,-0.198
43,0.507,0.311,-0.196,-0.409,0.352,0.058,0.347,0.141,0.787,0.476,-0.002,0.064,-0.074,0.059,-0.205
44,0.493,0.302,-0.191,-0.398,0.342,0.056,0.351,0.145,0.791,0.482,0.003,0.066,-0.070,0.051,-0.199
45,0.487,0.285,-0.202,-0.387,0.344,0.042,0.350,0.142,0.788,0.479,0.002,0.062,-0.067,0.041,-0.188
46,0.495,0.289,-0.206,-0.392,0.351,0.041,0.348,0.141,0.789,0.480,0.004,0.068,-0.064,0.039,-0.191
47,0.513,0.309,-0.203,-0.411,0.358,0.053,0.348,0.143,0.796,0.489,0.015,0.078,-0.065,0.050,-0.203
48,0.513,0.314,-0.199,-0.413,0.356,0.058,0.349,0.143,0.798,0.490,0.018,0.085,-0.056,0.054,-0.205
49,0.500,0.303,-0.196,-0.402,0.348,0.054,0.343,0.136,0.790,0.484,0.011,0.070,-0.066,0.056,-0.199
50,0.504,0.307,-0.197,-0.406,0.350,0.055,0.335,0.129,0.789,0.483,0.009,0.063,-0.074,0.056,-0.201
51,0.494,0.309,-0.184,-0.402,0.339,0.062,0.349,0.136,0.794,0.488,0.015,0.070,-0.067,0.061,-0.204
52,0.504,0.320,-0.184,-0.411,0.344,0.068,0.352,0.141,0.797,0.491,0.018,0.072,-0.071,0.057,-0.209
53,0.502,0.310,-0.192,-0.406,0.347,0.059,0.339,0.135,0.794,0.491,0.020,0.075,-0.062,0.051,-0.203
54,0.492,0.304,-0.188,-0.398,0.340,0.059,0.336,0.130,0.791,0.487,0.018,0.071,-0.056,0.059,-0.199
55,0.506,0.312,-0.194,-0.409,0.349,0.059,0.338,0.131,0.793,0.488,0.018,0.068,-0.059,0.057,-0.202
56,0.509,0.314,-0.194,-0.411,0.351,0.060,0.338,0.131,0.795,0.491,0.024,0.071,-0.058,0.057,-0.203
57,0.508,0.325,-0.183,-0.416,0.345,0.070,0.347,0.140,0.802,0.497,0.029,0.079,-0.061,0.059,-0.208
58,0.496,0.316,-0.179,-0.406,0.338,0.068,0.343,0.133,0.798,0.494,0.023,0.069,-0.065,0.054,-0.204
59,0.492,0.313,-0.178,-0.403,0.335,0.068,0.343,0.132,0.800,0.496,0.025,0.071,-0.064,0.063,-0.208
60,0.500,0.311,-0.188,-0.406,0.344,0.062,0.335,0.122,0.797,0.495,0.025,0.074,-0.060,0.057,-0.207
61,0.501,0.315,-0.186,-0.408,0.344,0.064,0.329,0.117,0.793,0.496,0.027,0.085,-0.051,0.051,-0.201
62,0.505,0.326,-0.179,-0.416,0.343,0.073,0.346,0.138,0.806,0.505,0.033,0.088,-0.055,0.065,-0.210
63,0.508,0.320,-0.189,-0.414,0.348,0.066,0.340,0.132,0.801,0.499,0.024,0.069,-0.064,0.065,-0.209
64,0.504,0.318,-0.187,-0.411,0.346,0.066,0.338,0.138,0.803,0.501,0.026,0.076,-0.057,0.060,-0.205
65,0.502,0.317,-0.185,-0.409,0.344,0.066,0.337,0.133,0.802,0.498,0.025,0.080,-0.056,0.059,-0.203
66,0.509,0.322,-0.188,-0.416,0.348,0.068,0.337,0.128,0.803,0.501,0.029,0.086,-0.057,0.058,-0.205
67,0.496,0.314,-0.181,-0.405,0.339,0.066,0.333,0.129,0.801,0.499,0.027,0.083,-0.058,0.061,-0.205
68,0.490,0.314,-0.175,-0.402,0.333,0.069,0.329,0.124,0.798,0.494,0.024,0.081,-0.056,0.073,-0.201
69,0.522,0.341,-0.181,-0.431,0.352,0.080,0.337,0.132,0.806,0.505,0.036,0.092,-0.049,0.077,-0.204
70,0.530,0.343,-0.187,-0.436,0.358,0.078,0.329,0.125,0.801,0.503,0.038,0.089,-0.047,0.061,-0.200
71,0.524,0.344,-0.179,-0.434,0.351,0.083,0.332,0.132,0.805,0.505,0.041,0.092,-0.046,0.062,-0.203
72,0.527,0.343,-0.184,-0.435,0.355,0.080,0.332,0.130,0.801,0.501,0.037,0.089,-0.046,0.062,-0.207
73,0.518,0.322,-0.197,-0.420,0.357,0.062,0.321,0.119,0.791,0.493,0.030,0.084,-0.044,0.059,-0.204
74,0.515,0.325,-0.190,-0.419,0.352,0.068,0.322,0.122,0.793,0.493,0.029,0.082,-0.045,0.067,-0.203
75,0.511,0.332,-0.178,-0.421,0.344,0.077,0.328,0.124,0.798,0.499,0.036,0.086,-0.044,0.067,-0.204
76,0.506,0.329,-0.176,-0.417,0.341,0.076,0.327,0.121,0.799,0.504,0.043,0.099,-0.038,0.076,-0.206
77,0.502,0.323,-0.179,-0.412,0.341,0.072,0.322,0.116,0.793,0.496,0.035,0.091,-0.043,0.079,-0.203
78,0.509,0.331,-0.178,-0.420,0.344,0.076,0.325,0.120,0.795,0.496,0.033,0.084,-0.046,0.068,-0.203
79,0.522,0.344,-0.178,-0.432,0.350,0.083,0.328,0.122,0.801,0.504,0.040,0.092,-0.043,0.067,-0.205
80,0.517,0.335,-0.181,-0.426,0.349,0.076,0.325,0.118,0.800,0.502,0.037,0.089,-0.045,0.071,-0.203
81,0.526,0.336,-0.191,-0.431,0.359,0.072,0.319,0.117,0.799,0.501,0.039,0.091,-0.043,0.060,-0.205
82,0.522,0.338,-0.184,-0.430,0.353,0.077,0.323,0.120,0.800,0.505,0.042,0.097,-0.043,0.054,-0.209
83,0.513,0.333,-0.180,-0.423,0.347,0.076,0.323,0.115,0.794,0.497,0.033,0.084,-0.045,0.064,-0.202
84,0.513,0.335,-0.178,-0.424,0.345,0.079,0.320,0.116,0.798,0.502,0.040,0.089,-0.043,0.071,-0.200
85,0.505,0.334,-0.171,-0.419,0.338,0.082,0.323,0.122,0.801,0.505,0.042,0.091,-0.049,0.077,-0.202
86,0.511,0.333,-0.178,-0.422,0.344,0.077,0.325,0.121,0.798,0.501,0.040,0.092,-0.044,0.065,-0.196
87,0.509,0.336,-0.173,-0.422,0.341,0.082,0.326,0.121,0.799,0.503,0.042,0.099,-0.038,0.070,-0.195
88,0.510,0.333,-0.177,-0.421,0.344,0.077,0.314,0.114,0.789,0.492,0.030,0.085,-0.046,0.079,-0.196
89,0.522,0.342,-0.179,-0.432,0.350,0.082,0.314,0.111,0.793,0.494,0.035,0.088,-0.046,0.074,-0.197
90,0.522,0.348,-0.173,-0.435,0.348,0.087,0.311,0.112,0.794,0.497,0.038,0.092,-0.043,0.078,-0.194
91,0.514,0.343,-0.172,-0.429,0.343,0.086,0.310,0.106,0.791,0.494,0.035,0.092,-0.040,0.077,-0.191
92,0.513,0.350,-0.163,-0.432,0.338,0.094,0.321,0.113,0.798,0.500,0.043,0.096,-0.040,0.085,-0.197
93,0.509,0.341,-0.168,-0.425,0.339,0.086,0.314,0.107,0.794,0.499,0.040,0.092,-0.040,0.082,-0.195
94,0.512,0.346,-0.167,-0.429,0.340,0.090,0.310,0.101,0.789,0.495,0.036,0.091,-0.037,0.078,-0.194
95,0.529,0.364,-0.164,-0.447,0.346,0.101,0.318,0.116,0.796,0.500,0.043,0.093,-0.042,0.084,-0.199
96,0.536,0.362,-0.173,-0.450,0.355,0.095,0.319,0.118,0.800,0.503,0.044,0.101,-0.034,0.075,-0.196
97,0.536,0.360,-0.175,-0.448,0.356,0.092,0.308,0.107,0.792,0.497,0.037,0.098,-0.040,0.058,-0.196
98,0.525,0.355,-0.170,-0.441,0.348,0.093,0.307,0.103,0.787,0.492,0.032,0.088,-0.059,0.060,-0.201
99,0.514,0.342,-0.172,-0.428,0.344,0.085,0.311,0.105,0.787,0.492,0.030,0.092,-0.035,0.077,-0.190
100,0.517,0.349,-0.168,-0.433,0.343,0.091,0.303,0.096,0.786,0.494,0.032,0.094,-0.032,0.083,-0.190
101,0.508,0.343,-0.165,-0.425,0.337,0.089,0.305,0.101,0.784,0.490,0.028,0.087,-0.042,0.085,-0.192
102,0.501,0.330,-0.171,-0.415,0.336,0.080,0.308,0.100,0.781,0.485,0.025,0.085,-0.041,0.101,-0.187
103,0.530,0.367,-0.163,-0.449,0.346,0.102,0.307,0.099,0.788,0.494,0.034,0.096,-0.046,0.103,-0.195
104,0.533,0.368,-0.165,-0.451,0.349,0.102,0.309,0.107,0.789,0.496,0.037,0.102,-0.043,0.087,-0.191
105,0.531,0.362,-0.169,-0.447,0.350,0.097,0.307,0.103,0.786,0.493,0.033,0.098,-0.038,0.087,-0.183
106,0.522,0.356,-0.166,-0.439,0.344,0.096,0.301,0.098,0.781,0.487,0.026,0.086,-0.038,0.090,-0.178
107,0.505,0.346,-0.159,-0.426,0.333,0.093,0.306,0.099,0.780,0.486,0.028,0.089,-0.040,0.092,-0.179
108,0.510,0.358,-0.150,-0.434,0.331,0.104,0.307,0.101,0.784,0.488,0.029,0.095,-0.040,0.097,-0.185
109,0.502,0.351,-0.151,-0.427,0.327,0.100,0.296,0.090,0.775,0.479,0.020,0.089,-0.040,0.098,-0.179
110,0.507,0.354,-0.153,-0.431,0.331,0.101,0.296,0.088,0.769,0.478,0.022,0.097,-0.034,0.097,-0.178
111,0.506,0.360,-0.145,-0.433,0.327,0.107,0.293,0.082,0.768,0.477,0.022,0.090,-0.049,0.107,-0.184
112,0.512,0.363,-0.148,-0.438,0.331,0.107,0.291,0.080,0.768,0.476,0.024,0.095,-0.038,0.107,-0.175
113,0.535,0.373,-0.161,-0.455,0.348,0.106,0.297,0.090,0.772,0.477,0.027,0.103,-0.028,0.106,-0.176
114,0.531,0.381,-0.150,-0.456,0.341,0.116,0.295,0.089,0.768,0.473,0.024,0.101,-0.038,0.118,-0.180
115,0.512,0.374,-0.139,-0.444,0.326,0.117,0.290,0.081,0.763,0.470,0.022,0.103,-0.032,0.118,-0.172
116,0.503,0.363,-0.140,-0.433,0.322,0.112,0.281,0.071,0.757,0.467,0.019,0.094,-0.037,0.108,-0.167
117,0.502,0.364,-0.138,-0.433,0.320,0.114,0.274,0.068,0.754,0.465,0.018,0.092,-0.042,0.100,-0.171
118,0.509,0.370,-0.139,-0.440,0.324,0.116,0.291,0.079,0.761,0.469,0.019,0.099,-0.037,0.106,-0.177
119,0.518,0.380,-0.139,-0.449,0.329,0.120,0.293,0.082,0.764,0.475,0.024,0.103,-0.034,0.107,-0.173
120,0.523,0.387,-0.136,-0.455,0.330,0.125,0.287,0.077,0.760,0.475,0.024,0.107,-0.033,0.111,-0.175
121,0.531,0.387,-0.145,-0.459,0.339,0.121,0.280,0.071,0.757,0.471,0.021,0.103,-0.030,0.105,-0.169
122,0.529,0.388,-0.141,-0.459,0.336,0.123,0.282,0.073,0.759,0.472,0.025,0.103,-0.034,0.112,-0.167
123,0.521,0.392,-0.129,-0.457,0.325,0.132,0.276,0.070,0.752,0.467,0.018,0.098,-0.040,0.114,-0.169
124,0.507,0.382,-0.125,-0.445,0.316,0.129,0.270,0.066,0.751,0.467,0.021,0.098,-0.042,0.104,-0.166
125,0.504,0.383,-0.121,-0.444,0.313,0.131,0.285,0.076,0.753,0.467,0.020,0.096,-0.046,0.119,-0.171
126,0.510,0.388,-0.122,-0.449,0.317,0.133,0.276,0.068,0.748,0.462,0.014,0.095,-0.041,0.113,-0.163
127,0.509,0.383,-0.126,-0.447,0.318,0.129,0.272,0.059,0.743,0.460,0.013,0.101,-0.038,0.116,-0.161
128,0.509,0.384,-0.124,-0.447,0.317,0.130,0.273,0.062,0.741,0.456,0.008,0.091,-0.046,0.120,-0.163
129,0.505,0.389,-0.116,-0.447,0.311,0.137,0.270,0.061,0.738,0.454,0.009,0.092,-0.044,0.121,-0.158
130,0.511,0.395,-0.116,-0.453,0.314,0.139,0.271,0.058,0.733,0.451,0.008,0.092,-0.042,0.121,-0.155
131,0.515,0.400,-0.115,-0.458,0.315,0.143,0.270,0.053,0.732,0.451,0.006,0.089,-0.045,0.120,-0.155
132,0.507,0.398,-0.110,-0.453,0.308,0.144,0.265,0.050,0.728,0.451,0.008,0.095,-0.044,0.134,-0.157
133,0.498,0.384,-0.113,-0.441,0.305,0.136,0.258,0.045,0.720,0.444,0.002,0.086,-0.048,0.125,-0.150
134,0.504,0.396,-0.108,-0.450,0.306,0.143,0.255,0.040,0.711,0.436,-0.004,0.082,-0.053,0.136,-0.150
135,0.501,0.400,-0.102,-0.451,0.301,0.149,0.251,0.033,0.707,0.434,-0.004,0.085,-0.059,0.141,-0.154
136,0.498,0.398,-0.101,-0.448,0.299,0.148,0.246,0.029,0.706,0.434,-0.003,0.092,-0.049,0.129,-0.147
137,0.509,0.405,-0.105,-0.457,0.307,0.150,0.246,0.029,0.703,0.432,-0.004,0.099,-0.035,0.135,-0.141
138,0.502,0.402,-0.100,-0.452,0.301,0.151,0.246,0.032,0.702,0.430,-0.006,0.091,-0.046,0.138,-0.143
139,0.495,0.402,-0.093,-0.449,0.294,0.154,0.242,0.030,0.698,0.424,-0.013,0.081,-0.054,0.144,-0.140
140,0.494,0.406,-0.087,-0.450,0.290,0.160,0.243,0.029,0.699,0.427,-0.010,0.087,-0.053,0.145,-0.142
141,0.504,0.416,-0.088,-0.460,0.296,0.164,0.238,0.022,0.694,0.426,-0.009,0.092,-0.055,0.148,-0.144
142,0.506,0.412,-0.095,-0.459,0.300,0.159,0.232,0.012,0.680,0.417,-0.014,0.087,-0.051,0.142,-0.134
143,0.502,0.417,-0.086,-0.460,0.294,0.166,0.227,0.009,0.675,0.413,-0.018,0.088,-0.048,0.135,-0.128
144,0.507,0.424,-0.083,-0.466,0.295,0.171,0.228,0.007,0.673,0.411,-0.018,0.093,-0.052,0.140,-0.125
145,0.506,0.423,-0.083,-0.465,0.294,0.171,0.231,0.008,0.671,0.411,-0.017,0.093,-0.052,0.140,-0.125
146,0.496,0.415,-0.081,-0.456,0.288,0.167,0.222,0.002,0.663,0.403,-0.019,0.087,-0.052,0.152,-0.122
147,0.481,0.402,-0.079,-0.442,0.280,0.162,0.219,-0.011,0.655,0.397,-0.022,0.090,-0.053,0.156,-0.121
148,0.483,0.412,-0.071,-0.448,0.278,0.171,0.216,-0.011,0.651,0.394,-0.025,0.091,-0.052,0.148,-0.121
149,0.479,0.416,-0.063,-0.448,0.272,0.176,0.217,-0.015,0.645,0.388,-0.029,0.080,-0.062,0.151,-0.117
150,0.486,0.420,-0.066,-0.454,0.276,0.177,0.213,-0.022,0.636,0.383,-0.033,0.079,-0.066,0.158,-0.117
151,0.488,0.429,-0.059,-0.459,0.273,0.185,0.210,-0.018,0.635,0.380,-0.032,0.089,-0.060,0.166,-0.117
152,0.479,0.426,-0.052,-0.453,0.266,0.186,0.214,-0.021,0.631,0.376,-0.034,0.086,-0.060,0.167,-0.115
153,0.484,0.426,-0.057,-0.456,0.271,0.185,0.201,-0.029,0.623,0.371,-0.037,0.088,-0.057,0.169,-0.108
154,0.477,0.433,-0.044,-0.456,0.261,0.195,0.188,-0.041,0.613,0.365,-0.041,0.084,-0.060,0.170,-0.105
155,0.474,0.440,-0.034,-0.457,0.254,0.203,0.186,-0.049,0.604,0.357,-0.044,0.086,-0.059,0.179,-0.102
156,0.477,0.441,-0.036,-0.459,0.257,0.203,0.187,-0.050,0.600,0.354,-0.047,0.090,-0.060,0.177,-0.095
157,0.499,0.452,-0.048,-0.475,0.274,0.202,0.186,-0.049,0.595,0.349,-0.052,0.085,-0.063,0.174,-0.097
158,0.496,0.454,-0.043,-0.475,0.270,0.205,0.180,-0.057,0.589,0.345,-0.053,0.090,-0.060,0.183,-0.095
159,0.476,0.449,-0.027,-0.463,0.252,0.211,0.180,-0.065,0.582,0.340,-0.059,0.086,-0.067,0.180,-0.086
160,0.476,0.451,-0.025,-0.464,0.251,0.213,0.175,-0.066,0.578,0.338,-0.059,0.086,-0.070,0.176,-0.085
161,0.470,0.447,-0.023,-0.458,0.246,0.211,0.172,-0.073,0.568,0.329,-0.067,0.083,-0.073,0.172,-0.080
162,0.474,0.454,-0.021,-0.464,0.247,0.216,0.169,-0.076,0.562,0.325,-0.069,0.086,-0.074,0.183,-0.079
163,0.481,0.464,-0.017,-0.472,0.249,0.224,0.159,-0.087,0.552,0.319,-0.075,0.086,-0.076,0.193,-0.073
164,0.479,0.461,-0.018,-0.469,0.248,0.222,0.159,-0.093,0.539,0.306,-0.088,0.077,-0.083,0.195,-0.068
165,0.479,0.460,-0.019,-0.469,0.249,0.221,0.148,-0.098,0.531,0.304,-0.090,0.078,-0.080,0.199,-0.062
166,0.472,0.467,-0.005,-0.469,0.239,0.231,0.145,-0.100,0.529,0.305,-0.090,0.077,-0.086,0.196,-0.060
167,0.456,0.457,0.002,-0.456,0.227,0.230,0.145,-0.109,0.519,0.296,-0.097,0.075,-0.097,0.196,-0.062
168,0.454,0.456,0.003,-0.455,0.226,0.230,0.141,-0.119,0.504,0.283,-0.107,0.071,-0.095,0.198,-0.057
169,0.458,0.472,0.015,-0.465,0.222,0.243,0.132,-0.127,0.496,0.277,-0.110,0.079,-0.086,0.203,-0.049
170,0.462,0.477,0.017,-0.469,0.223,0.247,0.124,-0.134,0.486,0.270,-0.112,0.081,-0.086,0.212,-0.045
171,0.473,0.486,0.013,-0.480,0.230,0.250,0.125,-0.137,0.478,0.260,-0.120,0.064,-0.098,0.218,-0.041
172,0.458,0.482,0.025,-0.470,0.216,0.254,0.112,-0.157,0.462,0.244,-0.134,0.056,-0.104,0.221,-0.032
173,0.448,0.485,0.038,-0.467,0.204,0.262,0.116,-0.151,0.458,0.243,-0.132,0.062,-0.110,0.219,-0.032
174,0.456,0.495,0.040,-0.476,0.208,0.268,0.113,-0.153,0.452,0.240,-0.132,0.063,-0.109,0.221,-0.027
175,0.459,0.495,0.036,-0.477,0.211,0.266,0.100,-0.169,0.438,0.231,-0.136,0.063,-0.101,0.224,-0.018
176,0.448,0.488,0.041,-0.468,0.204,0.265,0.095,-0.176,0.429,0.225,-0.143,0.060,-0.107,0.227,-0.017
177,0.437,0.485,0.049,-0.462,0.194,0.268,0.091,-0.182,0.418,0.216,-0.149,0.057,-0.122,0.231,-0.018
178,0.444,0.495,0.052,-0.469,0.196,0.274,0.084,-0.191,0.407,0.209,-0.152,0.057,-0.117,0.232,-0.007
179,0.442,0.496,0.056,-0.469,0.193,0.276,0.077,-0.200,0.397,0.200,-0.159,0.058,-0.106,0.244,0.006
180,0.441,0.502,0.062,-0.471,0.190,0.282,0.081,-0.200,0.389,0.193,-0.161,0.061,-0.112,0.253,0.008
181,0.439,0.504,0.066,-0.471,0.186,0.285,0.075,-0.211,0.378,0.183,-0.171,0.053,-0.128,0.255,0.008
182,0.441,0.506,0.066,-0.473,0.188,0.286,0.070,-0.216,0.368,0.177,-0.174,0.052,-0.130,0.249,0.015
183,0.440,0.514,0.075,-0.477,0.182,0.295,0.065,-0.219,0.362,0.173,-0.173,0.058,-0.126,0.256,0.018
184,0.436,0.515,0.080,-0.475,0.178,0.297,0.056,-0.229,0.349,0.163,-0.180,0.056,-0.135,0.258,0.023
185,0.436,0.509,0.073,-0.472,0.181,0.291,0.054,-0.235,0.336,0.154,-0.186,0.058,-0.128,0.251,0.035
186,0.424,0.495,0.071,-0.460,0.176,0.283,0.046,-0.244,0.321,0.140,-0.200,0.044,-0.129,0.248,0.042
187,0.423,0.507,0.084,-0.465,0.170,0.295,0.036,-0.250,0.315,0.137,-0.200,0.046,-0.138,0.249,0.041
188,0.422,0.520,0.099,-0.471,0.162,0.309,0.040,-0.252,0.312,0.138,-0.196,0.060,-0.136,0.269,0.035
189,0.427,0.523,0.097,-0.475,0.166,0.310,0.034,-0.262,0.292,0.119,-0.214,0.045,-0.142,0.266,0.043
190,0.437,0.531,0.095,-0.484,0.171,0.313,0.021,-0.274,0.280,0.108,-0.224,0.035,-0.144,0.252,0.058
191,0.424,0.527,0.104,-0.475,0.160,0.316,0.016,-0.284,0.271,0.101,-0.231,0.026,-0.153,0.254,0.062
192,0.423,0.538,0.115,-0.480,0.154,0.327,0.013,-0.293,0.261,0.096,-0.233,0.025,-0.157,0.264,0.061
193,0.432,0.535,0.104,-0.484,0.164,0.320,0.008,-0.292,0.254,0.089,-0.237,0.031,-0.154,0.266,0.071
194,0.417,0.530,0.114,-0.473,0.151,0.322,0.001,-0.303,0.235,0.075,-0.252,0.023,-0.164,0.273,0.072
195,0.426,0.549,0.123,-0.488,0.151,0.337,-0.004,-0.311,0.227,0.069,-0.254,0.023,-0.165,0.285,0.071
196,0.429,0.553,0.123,-0.491,0.153,0.339,-0.005,-0.308,0.224,0.065,-0.256,0.028,-0.164,0.288,0.079
197,0.404,0.541,0.138,-0.472,0.133,0.340,-0.007,-0.315,0.213,0.057,-0.264,0.025,-0.169,0.285,0.084
198,0.404,0.537,0.134,-0.470,0.135,0.336,-0.017,-0.329,0.201,0.047,-0.271,0.022,-0.171,0.279,0.090
199,0.409,0.546,0.138,-0.477,0.136,0.342,-0.022,-0.336,0.196,0.045,-0.272,0.032,-0.168,0.284,0.092
200,0.392,0.535,0.144,-0.464,0.123,0.340,-0.025,-0.345,0.185,0.035,-0.281,0.020,-0.177,0.290,0.097
201,0.386,0.534,0.149,-0.460,0.118,0.342,-0.026,-0.348,0.174,0.026,-0.287,0.015,-0.185,0.287,0.101
202,0.394,0.542,0.149,-0.468,0.122,0.345,-0.040,-0.358,0.166,0.021,-0.293,0.018,-0.181,0.287,0.108
203,0.394,0.544,0.151,-0.469,0.121,0.347,-0.037,-0.360,0.157,0.013,-0.299,0.015,-0.180,0.290,0.113
204,0.390,0.546,0.157,-0.469,0.117,0.351,-0.029,-0.355,0.152,0.009,-0.300,0.018,-0.188,0.289,0.114
205,0.366,0.521,0.155,-0.444,0.105,0.339,-0.040,-0.370,0.136,-0.005,-0.314,0.009,-0.195,0.299,0.124
